data_for_id,imb_open,imb_close,Open,High,Low,Close,ser_no,imb_diff
1751,50318.80078125,50328.05078125,50305.6484375,50318.80078125,50291.80078125,50318.80078125,1683.0,9.25
1752,49897.94921875,49901.3515625,49895.3984375,49897.94921875,49858.25,49870.5,1581.0,3.40234375
1752,49930.6015625,49934.3984375,49918.8984375,49930.6015625,49910.6484375,49916.3515625,1608.0,3.796875
1752,50318.80078125,50328.05078125,50305.6484375,50318.80078125,50291.80078125,50318.80078125,1683.0,9.25
1753,49897.94921875,49901.3515625,49895.3984375,49897.94921875,49858.25,49870.5,1581.0,3.40234375
1753,49930.6015625,49934.3984375,49918.8984375,49930.6015625,49910.6484375,49916.3515625,1608.0,3.796875
1753,50318.80078125,50328.05078125,50305.6484375,50318.80078125,50291.80078125,50318.80078125,1683.0,9.25
1754,49897.94921875,49901.3515625,49895.3984375,49897.94921875,49858.25,49870.5,1581.0,3.40234375
1754,49930.6015625,49934.3984375,49918.8984375,49930.6015625,49910.6484375,49916.3515625,1608.0,3.796875
1754,50318.80078125,50328.05078125,50305.6484375,50318.80078125,50291.80078125,50318.80078125,1683.0,9.25
1755,49897.94921875,49901.3515625,49895.3984375,49897.94921875,49858.25,49870.5,1581.0,3.40234375
1755,49930.6015625,49934.3984375,49918.8984375,49930.6015625,49910.6484375,49916.3515625,1608.0,3.796875
1755,50318.80078125,50328.05078125,50305.6484375,50318.80078125,50291.80078125,50318.80078125,1683.0,9.25
1756,49897.94921875,49901.3515625,49895.3984375,49897.94921875,49858.25,49870.5,1581.0,3.40234375
1756,49930.6015625,49934.3984375,49918.8984375,49930.6015625,49910.6484375,49916.3515625,1608.0,3.796875
1756,50318.80078125,50328.05078125,50305.6484375,50318.80078125,50291.80078125,50318.80078125,1683.0,9.25
1757,49897.94921875,49901.3515625,49895.3984375,49897.94921875,49858.25,49870.5,1581.0,3.40234375
1757,49930.6015625,49934.3984375,49918.8984375,49930.6015625,49910.6484375,49916.3515625,1608.0,3.796875
1757,50318.80078125,50328.05078125,50305.6484375,50318.80078125,50291.80078125,50318.80078125,1683.0,9.25
1758,49897.94921875,49901.3515625,49895.3984375,49897.94921875,49858.25,49870.5,1581.0,3.40234375
1758,49930.6015625,49934.3984375,49918.8984375,49930.6015625,49910.6484375,49916.3515625,1608.0,3.796875
1758,50318.80078125,50328.05078125,50305.6484375,50318.80078125,50291.80078125,50318.80078125,1683.0,9.25
1759,49897.94921875,49901.3515625,49895.3984375,49897.94921875,49858.25,49870.5,1581.0,3.40234375
1759,49930.6015625,49934.3984375,49918.8984375,49930.6015625,49910.6484375,49916.3515625,1608.0,3.796875
1759,50318.80078125,50328.05078125,50305.6484375,50318.80078125,50291.80078125,50318.80078125,1683.0,9.25
1760,49897.94921875,49901.3515625,49895.3984375,49897.94921875,49858.25,49870.5,1581.0,3.40234375
1760,49930.6015625,49934.3984375,49918.8984375,49930.6015625,49910.6484375,49916.3515625,1608.0,3.796875
1760,50318.80078125,50328.05078125,50305.6484375,50318.80078125,50291.80078125,50318.80078125,1683.0,9.25
1761,49897.94921875,49901.3515625,49895.3984375,49897.94921875,49858.25,49870.5,1581.0,3.40234375
1761,49930.6015625,49934.3984375,49918.8984375,49930.6015625,49910.6484375,49916.3515625,1608.0,3.796875
1761,50318.80078125,50328.05078125,50305.6484375,50318.80078125,50291.80078125,50318.80078125,1683.0,9.25
1762,49897.94921875,49901.3515625,49895.3984375,49897.94921875,49858.25,49870.5,1581.0,3.40234375
1762,49930.6015625,49934.3984375,49918.8984375,49930.6015625,49910.6484375,49916.3515625,1608.0,3.796875
1762,50318.80078125,50328.05078125,50305.6484375,50318.80078125,50291.80078125,50318.80078125,1683.0,9.25
1763,49897.94921875,49901.3515625,49895.3984375,49897.94921875,49858.25,49870.5,1581.0,3.40234375
1763,49930.6015625,49934.3984375,49918.8984375,49930.6015625,49910.6484375,49916.3515625,1608.0,3.796875
1763,50318.80078125,50328.05078125,50305.6484375,50318.80078125,50291.80078125,50318.80078125,1683.0,9.25
1764,49897.94921875,49901.3515625,49895.3984375,49897.94921875,49858.25,49870.5,1581.0,3.40234375
1764,49930.6015625,49934.3984375,49918.8984375,49930.6015625,49910.6484375,49916.3515625,1608.0,3.796875
1764,50318.80078125,50328.05078125,50305.6484375,50318.80078125,50291.80078125,50318.80078125,1683.0,9.25
1765,49897.94921875,49901.3515625,49895.3984375,49897.94921875,49858.25,49870.5,1581.0,3.40234375
1765,49930.6015625,49934.3984375,49918.8984375,49930.6015625,49910.6484375,49916.3515625,1608.0,3.796875
1765,50318.80078125,50328.05078125,50305.6484375,50318.80078125,50291.80078125,50318.80078125,1683.0,9.25
1766,49897.94921875,49901.3515625,49895.3984375,49897.94921875,49858.25,49870.5,1581.0,3.40234375
1766,49930.6015625,49934.3984375,49918.8984375,49930.6015625,49910.6484375,49916.3515625,1608.0,3.796875
1766,50318.80078125,50328.05078125,50305.6484375,50318.80078125,50291.80078125,50318.80078125,1683.0,9.25
1767,49897.94921875,49901.3515625,49895.3984375,49897.94921875,49858.25,49870.5,1581.0,3.40234375
1767,49930.6015625,49934.3984375,49918.8984375,49930.6015625,49910.6484375,49916.3515625,1608.0,3.796875
1767,50318.80078125,50328.05078125,50305.6484375,50318.80078125,50291.80078125,50318.80078125,1683.0,9.25
1768,49897.94921875,49901.3515625,49895.3984375,49897.94921875,49858.25,49870.5,1581.0,3.40234375
1768,49930.6015625,49934.3984375,49918.8984375,49930.6015625,49910.6484375,49916.3515625,1608.0,3.796875
1768,50318.80078125,50328.05078125,50305.6484375,50318.80078125,50291.80078125,50318.80078125,1683.0,9.25
1769,49897.94921875,49901.3515625,49895.3984375,49897.94921875,49858.25,49870.5,1581.0,3.40234375
1769,49930.6015625,49934.3984375,49918.8984375,49930.6015625,49910.6484375,49916.3515625,1608.0,3.796875
1769,50318.80078125,50328.05078125,50305.6484375,50318.80078125,50291.80078125,50318.80078125,1683.0,9.25
1770,49897.94921875,49901.3515625,49895.3984375,49897.94921875,49858.25,49870.5,1581.0,3.40234375
1770,49930.6015625,49934.3984375,49918.8984375,49930.6015625,49910.6484375,49916.3515625,1608.0,3.796875
1770,50318.80078125,50328.05078125,50305.6484375,50318.80078125,50291.80078125,50318.80078125,1683.0,9.25
1771,49897.94921875,49901.3515625,49895.3984375,49897.94921875,49858.25,49870.5,1581.0,3.40234375
1771,49930.6015625,49934.3984375,49918.8984375,49930.6015625,49910.6484375,49916.3515625,1608.0,3.796875
1771,50318.80078125,50328.05078125,50305.6484375,50318.80078125,50291.80078125,50318.80078125,1683.0,9.25
1772,49897.94921875,49901.3515625,49895.3984375,49897.94921875,49858.25,49870.5,1581.0,3.40234375
1772,49930.6015625,49934.3984375,49918.8984375,49930.6015625,49910.6484375,49916.3515625,1608.0,3.796875
